VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-12-18 15:52:30,2019-12-18 15:54:39,N,1,264,264,5,.00,3.5,0.5,0.5,0.01,0,,0.3,4.81,1,1,0
2,2020-01-01 00:45:58,2020-01-01 00:56:39,N,5,66,65,2,1.28,20,0,0,4.06,0,,0.3,24.36,1,2,0
2,2020-01-01 00:41:38,2020-01-01 00:52:49,N,1,181,228,1,2.47,10.5,0.5,0.5,3.54,0,,0.3,15.34,1,1,0
1,2020-01-01 00:52:46,2020-01-01 01:14:21,N,1,129,263,2,6.30,21,3.25,0.5,0,0,,0.3,25.05,2,1,2.75
1,2020-01-01 00:19:57,2020-01-01 00:30:56,N,1,210,150,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,1,1,0
1,2020-01-01 00:52:33,2020-01-01 01:09:54,N,1,35,39,1,3.00,13.5,0.5,0.5,0,0,,0.3,14.8,1,1,0
2,2020-01-01 00:10:18,2020-01-01 00:22:16,N,1,25,61,1,2.77,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2020-01-01 01:03:14,2020-01-01 01:29:45,N,1,225,89,1,4.98,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,0
2,2020-01-01 00:04:11,2020-01-01 00:09:48,N,1,129,129,1,.71,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:25:52,2020-01-01 00:32:16,N,1,129,83,1,.80,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:47:32,2020-01-01 00:59:25,N,1,82,173,1,1.52,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
1,2020-01-01 00:26:40,2020-01-01 00:40:42,N,1,74,69,1,3.80,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,2020-01-01 00:38:47,2020-01-01 00:46:02,N,1,74,41,1,1.12,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,2020-01-01 00:52:18,2020-01-01 01:09:58,N,1,41,127,1,5.67,19,0.5,0.5,0,0,,0.3,20.3,2,1,0
2,2020-01-01 00:16:01,2020-01-01 00:26:40,N,1,7,260,1,1.86,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:21:15,2020-01-01 00:28:03,N,1,7,7,1,1.42,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:35:42,2020-01-01 01:02:00,N,1,7,133,1,15.48,43,0.5,0.5,8.86,0,,0.3,53.16,1,1,0
2,2020-01-01 00:39:51,2020-01-01 00:42:54,N,1,134,28,1,1.15,5.5,0.5,0.5,1,0,,0.3,7.8,1,1,0
1,2020-01-01 00:00:21,2020-01-01 00:10:19,N,1,89,39,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
1,2020-01-01 00:13:59,2020-01-01 00:21:31,N,1,66,65,3,1.00,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
1,2020-01-01 00:05:13,2020-01-01 00:06:49,N,1,116,244,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,4,1,0
1,2020-01-01 00:41:50,2020-01-01 01:00:20,N,1,167,41,1,3.40,14.5,0.5,0.5,0,0,,0.3,15.8,4,1,0
2,2020-01-01 00:14:07,2020-01-01 00:24:32,N,1,82,92,2,2.55,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2020-01-01 00:43:33,2020-01-01 00:44:02,N,5,264,264,1,.28,5.55,0,0,10,0,,0,15.55,1,2,0
2,2020-01-01 00:35:29,2020-01-01 00:38:00,N,1,223,223,1,.29,3.5,0.5,0.5,0.96,0,,0.3,5.76,1,1,0
2,2020-01-01 00:13:38,2020-01-01 00:23:22,N,1,42,151,1,2.02,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:26:48,2020-01-01 00:36:57,N,1,166,74,1,1.62,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2020-01-01 00:46:58,2020-01-01 00:58:53,N,1,41,42,1,1.95,9.5,0.5,0.5,0,0,,0.3,10.8,1,1,0
2,2020-01-01 00:48:49,2020-01-01 01:01:52,N,1,134,129,2,7.53,22,0.5,0.5,0,0,,0.3,23.3,2,1,0
2,2020-01-01 00:32:00,2020-01-01 00:49:06,N,1,181,256,1,3.48,14,0.5,0.5,3.06,0,,0.3,18.36,1,1,0
2,2020-01-01 00:49:54,2020-01-01 01:03:35,N,1,256,260,1,5.85,18,0.5,0.5,4.82,0,,0.3,24.12,1,1,0
2,2020-01-01 00:10:05,2020-01-01 00:13:54,N,1,243,243,1,.75,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
1,2020-01-01 00:19:52,2020-01-01 00:23:32,N,1,42,42,1,.40,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:04:20,2020-01-01 00:10:51,N,1,82,56,1,1.58,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:31:21,2020-01-01 00:37:57,N,1,82,129,3,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2020-01-01 00:39:35,2020-01-01 00:56:22,N,1,7,263,1,4.47,15.5,0.5,0.5,2.93,0,,0.3,22.48,1,1,2.75
1,2020-01-01 00:20:15,2020-01-01 00:32:41,N,1,181,80,1,4.30,14.5,0.5,0.5,2.5,0,,0.3,18.3,1,1,0
1,2020-01-01 00:47:38,2020-01-01 01:12:17,N,1,65,237,2,8.10,25,3.25,0.5,0,0,,0.3,29.05,2,1,2.75
2,2020-01-01 00:05:55,2020-01-01 00:12:05,N,1,223,7,1,1.13,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
1,2020-01-01 00:06:13,2020-01-01 00:13:12,N,1,166,152,3,1.30,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
1,2020-01-01 00:21:57,2020-01-01 00:31:48,N,1,166,239,2,1.70,9,3.25,0.5,3.25,0,,0.3,16.3,1,1,2.75
1,2020-01-01 00:48:03,2020-01-01 01:03:28,N,1,166,236,2,2.80,13,3.25,0.5,3,0,,0.3,20.05,1,1,2.75
2,2020-01-01 00:08:42,2020-01-01 00:13:22,N,1,41,43,1,.54,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-01-01 00:14:14,2020-01-01 00:31:15,N,1,43,162,1,3.63,14.5,0.5,0.5,3.71,0,,0.3,22.26,1,1,2.75
2,2020-01-01 00:58:57,2020-01-01 01:07:46,N,1,75,238,1,1.77,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
2,2020-01-01 00:56:51,2020-01-01 01:16:59,N,5,33,164,5,6.00,75,0,0,0.05,0,,0.3,78.1,1,2,2.75
2,2020-01-01 00:31:26,2020-01-01 00:41:09,N,1,52,228,1,2.56,10,0.5,0.5,2.82,0,,0.3,14.12,1,1,0
2,2020-01-01 00:48:55,2020-01-01 01:02:08,N,1,181,89,1,2.61,12,0.5,0.5,3.32,0,,0.3,16.62,1,1,0
2,2020-01-01 00:48:00,2020-01-01 01:06:30,N,1,256,146,1,3.62,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1,0
1,2020-01-01 00:25:52,2020-01-01 00:31:45,N,1,41,238,1,1.60,7,3.25,0.5,0,0,,0.3,11.05,2,1,2.75
2,2020-01-01 00:13:07,2020-01-01 00:18:36,N,1,41,42,1,.84,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:24:57,2020-01-01 00:30:15,N,1,42,42,1,.75,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:42:03,2020-01-01 01:18:12,N,1,41,25,1,11.41,37,0.5,0.5,5,0,,0.3,46.05,1,1,2.75
2,2020-01-01 00:43:11,2020-01-01 00:59:31,N,1,116,42,2,1.79,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
1,2020-01-01 00:52:35,2020-01-01 00:57:35,N,1,82,129,1,.60,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:58:09,2020-01-01 01:10:29,N,1,260,7,1,1.95,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:49:57,2020-01-01 00:58:03,N,1,83,129,1,1.50,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2020-01-01 00:32:57,2020-01-01 00:42:41,N,1,25,189,1,1.44,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,0
2,2020-01-01 00:45:21,2020-01-01 00:52:58,N,1,189,181,1,1.08,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:57:22,2020-01-01 01:06:24,N,1,181,61,1,1.81,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
2,2020-01-01 00:23:26,2020-01-01 00:37:19,N,1,7,260,1,2.26,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2020-01-01 00:51:19,2020-01-01 01:00:21,N,1,95,131,1,3.52,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2020-01-01 00:11:39,2020-01-01 00:14:02,N,1,66,66,1,.29,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
1,2020-01-01 00:38:12,2020-01-01 00:53:14,N,1,22,210,1,3.90,14.5,0.5,0.5,0,0,,0.3,15.8,2,1,0
2,2020-01-01 00:16:47,2020-01-01 00:34:21,N,1,42,142,1,3.69,15.5,0.5,0.5,3.91,0,,0.3,23.46,1,1,2.75
2,2020-01-01 00:49:10,2020-01-01 01:22:38,N,1,41,235,1,6.65,26,0.5,0.5,0,0,,0.3,27.3,2,1,0
2,2020-01-01 00:19:51,2020-01-01 00:55:20,N,1,181,4,1,5.18,24.5,0.5,0.5,5.71,0,,0.3,34.26,1,1,2.75
2,2020-01-01 00:32:46,2020-01-01 00:35:11,N,1,42,42,1,.37,3.5,0.5,0.5,1,0,,0.3,5.8,1,1,0
2,2020-01-01 00:02:29,2020-01-01 00:10:03,N,1,112,255,1,1.09,6.5,0.5,0.5,5,0,,0.3,12.8,1,1,0
2,2020-01-01 00:26:31,2020-01-01 00:46:02,N,1,255,107,1,4.16,17,0.5,0.5,4.21,0,,0.3,25.26,1,1,2.75
2,2020-01-01 00:21:08,2020-01-01 00:26:18,N,1,7,7,1,.95,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:15:02,2020-01-01 00:20:08,N,1,49,97,1,.94,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:27:44,2020-01-01 00:33:24,N,1,181,17,1,1.49,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1,0
2,2019-12-31 23:59:39,2020-01-01 00:06:24,N,1,179,179,1,1.01,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2020-01-01 00:16:14,2020-01-01 00:34:58,N,1,7,102,1,10.23,29.5,0.5,0.5,0,0,,0.3,30.8,2,1,0
2,2020-01-01 00:13:40,2020-01-01 00:18:21,N,1,74,141,1,1.82,7,0.5,0.5,0,0,,0.3,11.05,1,1,2.75
2,2020-01-01 00:06:41,2020-01-01 00:45:33,N,5,225,55,1,15.81,39.51,0,0,0,0,,0.3,39.81,2,1,0
2,2020-01-01 00:10:26,2020-01-01 00:13:10,N,1,116,152,1,.39,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:32:33,2020-01-01 00:53:18,N,1,116,152,1,1.67,13.5,0.5,0.5,0,0,,0.3,14.8,2,1,0
2,2020-01-01 00:58:10,2020-01-01 01:35:48,N,1,116,37,1,14.27,42.5,0.5,0.5,8,6.12,,0.3,57.92,1,1,0
2,2020-01-01 00:48:30,2020-01-01 01:00:44,N,1,260,95,1,2.87,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2019-12-31 23:59:13,2020-01-01 00:09:16,N,1,41,239,1,2.05,9.5,0.5,0.5,0,0,,0.3,13.55,2,1,2.75
2,2020-01-01 00:21:40,2020-01-01 00:45:59,N,1,24,113,1,6.58,23.5,0.5,0.5,4.13,0,,0.3,31.68,1,1,2.75
2,2020-01-01 00:50:42,2020-01-01 01:06:09,N,1,41,220,1,6.54,20,0.5,0.5,6.02,2.8,,0.3,30.12,1,1,0
2,2020-01-01 00:27:48,2020-01-01 00:42:00,N,1,255,223,1,6.19,19,0.5,0.5,4.06,0,,0.3,24.36,1,1,0
2,2020-01-01 00:38:30,2020-01-01 23:25:23,N,1,243,244,1,.93,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2020-01-01 00:46:25,2020-01-01 00:56:49,N,1,244,42,1,2.02,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:55:18,2020-01-01 01:03:45,N,1,243,244,1,1.29,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
1,2020-01-01 00:08:45,2020-01-01 00:10:22,N,1,41,41,1,.30,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
1,2020-01-01 00:15:39,2020-01-01 00:27:55,N,1,41,159,1,2.50,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
1,2020-01-01 00:35:03,2020-01-01 00:50:42,N,1,159,78,1,2.70,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
1,2020-01-01 00:23:09,2020-01-01 00:32:29,N,1,42,151,2,1.60,8,0.5,0.5,0,0,,0.3,9.3,1,1,0
1,2020-01-01 00:37:55,2020-01-01 01:07:28,N,1,41,254,2,10.40,32,0.5,0.5,0,0,,0.3,33.3,1,1,0
1,2020-01-01 00:23:42,2020-01-01 00:48:02,N,1,92,51,1,.00,26.2,0,0.5,0,6.12,,0.3,33.12,1,1,0
1,2020-01-01 00:52:33,2020-01-01 01:11:28,N,1,167,182,1,3.70,15,0.5,0.5,0,0,,0.3,16.3,1,1,0
2,2020-01-01 00:12:44,2020-01-01 00:23:24,N,5,59,136,1,3.72,15,0,0,0,0,,0,15,2,2,0
2,2020-01-01 00:23:46,2020-01-01 00:45:06,N,1,112,17,1,2.78,14.5,0.5,0.5,4.74,0,,0.3,20.54,1,1,0
2,2020-01-01 00:35:25,2020-01-01 00:46:22,N,1,7,145,1,1.71,9,0.5,0.5,2.06,0,,0.3,14.31,1,1,0
2,2020-01-01 00:48:03,2020-01-01 01:17:56,N,1,145,246,1,5.13,22.5,0.5,0.5,0,0,,0.3,26.55,2,1,2.75
